P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,DRS_nu,a1,a2,a3,a4,a5,rho,nu
Kepler-42 c,Subterran,rocky-iron,non-habitable,0,-1.766362,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-42 d,Subterran,rocky-iron,non-habitable,0,-1.169647,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-48 b,Superterran,rocky-iron,non-habitable,0,-2.536948,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-48 c,Neptunian,rocky-water,non-habitable,0,-2.193322,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-48 d,Superterran,rocky-water,non-habitable,0,-1.677496,0.6,0.1,0.1,0.1,0.1,1,0.99
Kepler-49 d,Superterran,rocky-iron,non-habitable,0,-2.013875,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-49 e,Superterran,rocky-iron,non-habitable,0,-1.361739,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-50 b,Superterran,rocky-iron,non-habitable,0,-3.44995,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-50 c,Neptunian,rocky-water,non-habitable,0,-3.211633,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-52 b,Superterran,rocky-iron,non-habitable,0,-2.031644,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-52 c,Superterran,rocky-iron,non-habitable,0,-1.607448,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-52 d,Superterran,rocky-iron,non-habitable,0,-1.740138,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-53 d,Superterran,rocky-iron,non-habitable,0,-2.355894,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-54 b,Superterran,rocky-iron,non-habitable,0,-2.013179,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-54 c,Terran,rocky-iron,non-habitable,0,-1.247584,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-54 d,Terran,rocky-iron,non-habitable,0,-1.315161,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-55 b,Superterran,rocky-iron,non-habitable,0,-2.458674,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-55 c,Superterran,rocky-iron,non-habitable,0,-2.109718,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-55 d,Superterran,rocky-iron,non-habitable,0,-2.288245,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-55 e,Terran,rocky-iron,non-habitable,0,-1.883171,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-55 f,Superterran,rocky-iron,non-habitable,0,-1.580344,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-57 b,Superterran,rocky-iron,non-habitable,0,-2.383333,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-58 b,Neptunian,rocky-iron,non-habitable,0,-13.578455,0.1,0.6,0.1,0.1,0.1,1,0.99
Kepler-58 c,Neptunian,rocky-iron,non-habitable,0,-18.492557,0.1,0.6,0.1,0.1,0.1,1,0.99
Kepler-60 b,Terran,rocky-water,non-habitable,0,-2.891121,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-60 c,Terran,rocky-water,non-habitable,0,-2.694634,0.1,0.1,0.1,0.6,0.1,1,0.99
