P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
K2-59 c,Superterran,rocky-iron,non-habitable,0,-2.316563,0.1,0.1,0.6,0.1,0.1,1,1
K2-61 b,Superterran,rocky-iron,non-habitable,0,-4.250583,0.1,0.1,0.1,0.6,0.1,1,1
K2-62 b,Superterran,rocky-iron,non-habitable,0,-2.219625,0.1,0.1,0.1,0.6,0.1,1,1
K2-62 c,Superterran,rocky-iron,non-habitable,0,-2.068583,0.1,0.1,0.6,0.1,0.1,1,1
K2-64 b,Superterran,rocky-iron,non-habitable,0,-2.35025,0.1,0.1,0.1,0.6,0.1,1,1
K2-65 b,Superterran,rocky-iron,non-habitable,0,-1.8905,0.1,0.1,0.1,0.6,0.1,1,1
K2-66 b,Superterran,rocky-iron,non-habitable,0,-3.756,0.1,0.1,0.1,0.6,0.1,1,1
K2-68 b,Superterran,rocky-iron,non-habitable,0,-1.863417,0.1,0.1,0.1,0.6,0.1,1,1
K2-69 b,Superterran,rocky-iron,non-habitable,0,-2.30575,0.1,0.1,0.6,0.1,0.1,1,1
K2-71 b,Superterran,rocky-iron,non-habitable,0,-2.064319,0.1,0.1,0.6,0.1,0.1,1,1
K2-72 b,Terran,rocky-iron,non-habitable,0,-1.379125,0.1,0.1,0.1,0.6,0.1,1,1
K2-72 c,Terran,rocky-iron,non-habitable,0,-1.257083,0.1,0.1,0.6,0.1,0.1,1,1
K2-72 d,Terran,rocky-iron,non-habitable,0,-1.267917,0.1,0.1,0.1,0.6,0.1,1,1
K2-72 e,Terran,rocky-iron,mesoplanet,1,-1.189556,0.35,0.1,0.35,0.1,0.1,1,1
K2-73 b,Superterran,rocky-iron,non-habitable,0,-2.860917,0.1,0.1,0.1,0.6,0.1,1,1
K2-74 b,Superterran,rocky-iron,non-habitable,0,-2.356083,0.1,0.1,0.6,0.1,0.1,1,1
K2-77 b,Superterran,rocky-iron,non-habitable,0,-2.627382,0.1,0.1,0.6,0.1,0.1,1,1
