P. Name,CRS_Yscore,DRS_Yscore,CRS_Norm,DRS_Norm
Kepler-188 b,1.645958,1.557294,0.005228008,0.0093324006
Kepler-189 b,1.189657,1.165654,0.0037786725,0.0069854184
Kepler-189 c,2.283277,2.09391,0.0072523056,0.012548181
Kepler-190 b,1.523803,1.454122,0.0048400106,0.0087141215
Kepler-190 c,1.426005,1.370563,0.0045293777,0.0082133772
Kepler-191 b,1.308458,1.269249,0.0041560166,0.0076062325
Kepler-191 c,1.78392,1.676279,0.0056662126,0.0100454424
Kepler-193 b,2.306322,2.112852,0.0073255027,0.0126616948
Kepler-194 b,1.487822,1.422283,0.0047257252,0.0085233198
Kepler-194 d,2.312115,2.117681,0.0073439028,0.0126906336
Kepler-195 b,1.950646,1.816552,0.0061957795,0.0108860569
Kepler-195 c,1.493329,1.429085,0.004743217,0.0085640822
Kepler-196 b,1.821967,1.708492,0.0057870602,0.0102384854
Kepler-196 c,2.150358,1.983299,0.0068301188,0.0118853221
Kepler-197 b,1.029182,1.022578,0.0032689605,0.0061280064
Kepler-197 c,1.215746,1.187988,0.0038615382,0.0071192594
Kepler-197 d,1.202333,1.176438,0.0038189349,0.0070500437
Kepler-197 e,0.916194,0.984256,0.00291008,0.005898354
Kepler-198 c,2.37448,2.169359,0.007541991,0.0130003245
Kepler-200 b,2.049833,1.899471,0.0065108242,0.0113829658
Kepler-200 c,1.54081,1.469396,0.0048940295,0.008805654
Kepler-201 b,2.365418,2.161951,0.0075132076,0.0129559305
Kepler-202 b,1.568965,1.49359,0.0049834574,0.0089506415
Kepler-202 c,1.77398,1.66797,0.0056346405,0.0099956491
Kepler-203 c,2.383171,2.176353,0.0075695959,0.0130422375
Kepler-203 d,1.39606,1.344941,0.0044342643,0.0080598322
Kepler-204 c,1.722973,1.624731,0.0054726284,0.0097365306
Kepler-205 b,1.467238,1.406376,0.0046603449,0.0084279939
Kepler-205 c,1.575539,1.499427,0.0050043382,0.0089856209
Kepler-206 b,1.189984,1.165251,0.0037797112,0.0069830033
Kepler-206 c,1.708777,1.612504,0.0054275381,0.0096632578
Kepler-206 d,1.171346,1.14951,0.0037205118,0.0068886722
Kepler-207 b,1.55374,1.477445,0.0049350986,0.0088538893
Kepler-207 c,1.479285,1.414699,0.0046986094,0.0084778711
Kepler-208 b,1.584216,1.505462,0.0050318987,0.0090217869
Kepler-208 c,1.365584,1.317966,0.0043374643,0.007898179
Kepler-208 d,1.189012,1.164489,0.0037766238,0.0069784369
Kepler-208 e,1.440276,1.382964,0.0045747063,0.0082876927
Kepler-209 b,2.172001,2.001432,0.0068988629,0.0119939878
Kepler-211 b,1.233158,1.203137,0.0039168435,0.0072100429
Kepler-211 c,1.267262,1.233259,0.004025167,0.0073905551
Kepler-212 b,1.085105,1.073083,0.0034465871,0.0064306679
Kepler-213 b,1.58778,1.508161,0.0050432189,0.0090379612
Kepler-213 c,2.263363,2.07682,0.0071890533,0.0124457657
Kepler-214 c,2.045503,1.89601,0.006497071,0.0113622251
Kepler-215 b,1.571672,1.495741,0.0049920555,0.0089635318
Kepler-215 c,1.706735,1.610873,0.0054210522,0.0096534837
Kepler-215 d,2.302347,2.109615,0.007312877,0.0126422964
Kepler-215 e,1.67838,1.586919,0.005330989,0.0095099345
Kepler-216 b,2.272389,2.084584,0.0072177223,0.0124922931
Kepler-217 b,2.162839,1.992595,0.0068697619,0.0119410303
Kepler-217 c,1.794614,1.684363,0.0057001796,0.0100938874
Kepler-218 b,1.449389,1.390089,0.0046036516,0.0083303907
Kepler-220 b,0.835353,0.97245,0.0026533072,0.0058276042
Kepler-220 c,1.516163,1.448562,0.0048157439,0.008680802
Kepler-220 d,0.963494,0.986268,0.0030603176,0.0059104113
Kepler-220 e,1.289258,1.252989,0.0040950322,0.0075087911
Kepler-221 b,1.660544,1.571058,0.005274337,0.0094148842
Kepler-223 b,1.638232,1.552332,0.0052034681,0.0093026649
Kepler-223 c,1.915913,1.787175,0.0060854581,0.0107100092
Kepler-223 e,2.312915,2.118398,0.0073464439,0.0126949303
Kepler-224 b,1.361108,1.31447,0.0043232473,0.0078772285
Kepler-224 d,2.210792,2.0336,0.0070220736,0.0121867611
Kepler-224 e,1.88845,1.764408,0.0059982282,0.0105735734
Kepler-225 b,1.175091,1.153222,0.003732407,0.0069109171
Kepler-225 c,1.763107,1.658661,0.0056001049,0.009939863
Kepler-226 b,1.509541,1.442163,0.0047947107,0.0086424547
Kepler-226 c,2.187395,2.014092,0.0069477584,0.0120698555
Kepler-226 d,1.201899,1.176092,0.0038175564,0.0070479702
Kepler-228 b,1.492529,1.426683,0.0047406759,0.0085496877
Kepler-229 b,2.11446,1.953475,0.0067160971,0.0117065958
Kepler-230 c,1.954351,1.819584,0.0062075476,0.0109042268
Kepler-231 b,1.650924,1.563659,0.0052437813,0.0093705442
Kepler-231 c,1.848533,1.730691,0.005871441,0.0103715174
Kepler-233 b,2.34516,2.145216,0.0074488627,0.0128556427
Kepler-235 b,2.141575,1.976066,0.0068022217,0.0118419769
Kepler-235 c,1.249251,1.217948,0.0039679592,0.0072988008
Kepler-235 d,1.964714,1.828328,0.0062404633,0.0109566269
Kepler-235 e,2.130823,1.967071,0.0067680704,0.0117880726
Kepler-236 b,1.511777,1.444922,0.0048018128,0.0086589886
Kepler-236 c,1.906414,1.779387,0.0060552867,0.0106633381
Kepler-237 b,1.376218,1.327841,0.0043712407,0.0079573569
Kepler-237 c,1.995792,1.854397,0.0063391754,0.0111128507
Kepler-238 b,1.674456,1.582388,0.0053185253,0.0094827815
Kepler-238 c,2.305517,2.112217,0.0073229458,0.0126578895
Kepler-238 f,2.194268,2.02622,0.0069695889,0.012142535
Kepler-239 b,2.241376,2.05903,0.0071192166,0.0123391555
Kepler-240 b,1.340374,1.296627,0.0042573905,0.0077703007
Kepler-240 c,2.112324,1.951754,0.0067093126,0.0116962823
Kepler-241 b,2.24111,2.058791,0.0071183717,0.0123377233
Kepler-242 c,1.908037,1.780843,0.0060604418,0.0106720634
Kepler-243 b,2.365947,2.162423,0.0075148878,0.0129587591
Kepler-243 c,1.907493,1.780381,0.0060587139,0.0106692948
Kepler-244 c,1.969063,1.831956,0.0062542769,0.0109783685
Kepler-244 d,2.220932,2.042026,0.007054281,0.0122372556
